FID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SIZE_HA,CAUSE,CAUSE2,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC,DATE,FLASH_DENSITY
0,51.8197,-122.0729,2023,9,27,0.01,H,H,0.0052835085612927,280.3301439185948,0.0288579220834818,0.06157314480512385,12.50265644776003,0.0163678133476177,283.52742507819727,0.4830207975130219,33.98367052842203,42.33978935784258,1.1540846654144442e-05,4.296792496102254,0.9317791013005412,148.48157543671536,5.891028160802426,0.2257188001222078,,0.0
1,54.5692,-128.4611,2023,6,2,1.4,H,H,0.0055788637203677,281.8248049278906,0.0320739956683921,0.08496296037253852,13.500747104417353,0.224204384490561,283.1691814393203,0.7356710565235366,94.98427151267686,60.19819140582488,2.2162980314548104e-05,2.1545534641108124,0.9600465281680298,226.87441769348465,44.53499859839222,0.3021505197724647,,0.0
2,50.1166,-119.2738,2023,6,27,0.009,H,H,0.0085858903566932,293.23521934048046,0.0184208297633809,0.03765235498289496,21.237163617301015,0.2262028879288968,287.50360816867965,0.4907207875244079,81.06217134763693,82.0082060740437,1.623732523176458e-05,3.346322954278317,0.9745548039740752,250.3270655953202,41.86838932284903,0.2048848901098428,,0.0028076160335974184
3,54.227,-125.6543,2023,4,28,1.1,H,H,0.0042888705705247,279.59796456845703,0.0176702054625875,0.016720850634940866,14.606514236073595,0.3687435515389478,273.6822448987598,0.7752496636635972,47.174839165255165,16.74270128673045,1.990303283092679e-05,1.5552265240548315,0.943913262259426,142.58387020883313,10.9751877995148,0.3262084037041092,,0.0
4,49.5187,-119.5348,2023,4,17,0.009,H,H,0.0032368605483388,272.8029946255469,0.0227378710426524,0.07766810555327901,5.400778992308442,0.2296917137675056,273.9274775451407,0.5530510394895501,45.85467686819077,35.626887917209075,1.9270003484636035e-05,1.8854837499435009,0.9557376977100068,159.83934466876502,14.515486555567197,0.2225744101069997,,0.0006499261083133997
5,52.2471,-122.0648,2023,4,29,1.0,H,H,0.0058781877376856,284.08755113902737,0.0070774334937233,0.0015265246214008373,12.02654024698053,0.0975905230608281,275.97542170679884,0.6944394448044734,57.02281069174924,27.901892908131067,1.1166538653469122e-05,2.18127281051594,0.9597718900010452,167.9871928084404,25.67221907230731,0.2991007544353005,,0.0
6,49.419,-117.6083,2023,5,3,3.5,H,H,0.0079271262659846,287.5971292023535,0.1000933076972675,0.022401277973174507,18.800050568482074,0.3900790844950187,284.9431346590625,0.6295541591161906,99.01911344334717,39.18469177658737,3.71661288439768e-05,2.0478403320404053,0.9583386037707138,217.21352008237287,50.48304658201049,0.239086050329818,,0.0
7,54.0927,-125.9594,2023,6,4,0.2,H,H,0.0051407487558691,280.7479655947207,0.0341177240600083,0.1120388243850937,12.158545997591794,0.3828977367580878,285.9309412743808,0.5556217407915774,77.35730028520423,83.1363872367714,1.3911304608958638e-05,2.604759651978493,0.9665937095634805,250.83260327429883,29.95578121878407,0.2464658696349804,,0.0
8,49.7995,-123.102,2023,4,29,0.04,H,H,0.0046377712372746,280.7743941805664,0.003993198813346,1.972085388114191e-05,11.08948111276702,0.7832124889513699,272.11149598076173,0.7307202963011737,35.171383597863695,5.017257151711009,7.332860633764645e-05,1.5549333832746477,0.929062299079704,94.17722448291,4.821876787108453,0.2888393981685636,,0.0
9,54.9928,-125.913,2023,6,27,0.1,H,H,0.0098250284059643,290.075619711875,0.0052264264804631,0.06478684028711311,25.55174799146973,0.3973942845475054,285.094582134375,0.6798417337553413,103.09824888369144,58.8806848910742,1.686718113568613e-05,2.362496639110103,0.9621238488067628,245.2403658332032,48.99282047329092,0.2858687172497562,,0.0
