FID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SIZE_HA,CAUSE,CAUSE2,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC,DATE,FLASH_DENSITY
145984,59.1475,-127.6038,2016,6,17,101.3,N,N,0.0070239331455044,284.7037105714844,0.0269234797750325,0.1335069381964207,16.200506236561584,0.316077264954268,284.0953392186523,0.6957040261114125,96.3460103352173,42.25879677704464,3.415905109506566e-05,1.9714730763467785,0.9572727968364716,218.5290383989746,37.668745468884254,0.2792987825665953,,0.012295549644401929
145985,59.4782,-128.1735,2016,7,10,98.1,N,N,0.0085389667395392,288.7210696591894,0.006605123684119,0.11288144245232558,20.197994311795657,0.1480601804266581,286.30850445465825,0.7063136453159143,107.85290588022964,26.90290063756888,2.748803865660786e-05,3.3199532135734606,0.9685672096224596,207.18256825554693,59.26403329785364,0.2847126675674821,,0.0034884569271897564
145993,59.8938,-121.9199,2016,8,7,392.6,N,N,0.0087285062347249,290.10915409134765,0.0042160847150675,0.018647080298732757,23.611023734301266,0.0660592357789114,288.3452606641465,0.6040243956241192,61.67881042693506,45.24608142802467,3.461723946151578e-05,4.136884843215662,0.8757781385981372,175.81001662569727,22.044753232892223,0.2650674600057928,,0.0
146022,59.078,-121.3735,2016,5,16,0.7,N,N,0.0060952396918058,288.09345273408206,0.0036942931498087,0.005181570359000583,13.169197066189582,0.2470091219955554,282.3314438424805,0.6784569275718685,72.1762467011474,55.15559028480229,3.421679902465543e-05,1.5520108006801605,0.943257401543808,212.50882691376955,30.63306735399777,0.2947432756742476,,0.0
146023,59.828,-123.7323,2016,6,12,0.5,N,N,0.0087780667593526,289.9726447433594,0.0204168930708802,0.05952306635146645,19.855749203613282,0.1021176487076139,288.61951010156247,0.6622801564579768,119.5463090151074,29.159792162976103,1.5216794755549548e-05,2.8315325912637324,0.967473142310028,235.88766955414064,65.4722888159765,0.2748470141670605,,0.006622146638982012
146024,59.8824,-123.782,2016,6,18,0.2,N,N,0.0069873813517022,286.2816553996875,0.0046539950325632,0.05924266252498636,17.2372644432129,0.0462375514444208,288.56898361945315,0.6563176732699593,118.49135952929714,30.39114143478001,1.465930812550239e-05,2.8091238370929044,0.9672597093840029,236.27712875308595,63.943539461641045,0.2702440988450627,,0.0011622897975896
146025,59.183,-120.2323,2016,6,29,4.5,N,N,0.009945096916947,293.53296414389644,0.0166110272477414,0.03904354236709712,24.70873941447388,0.0443866454137695,288.4288961270605,0.6591758813336943,112.44074927843016,26.334737962292536,3.354771796111424e-05,2.612115048039932,0.9665066300507354,223.75121459684576,66.37545167047239,0.2836204945221042,,0.00787699746151395
146026,59.5131,-122.2461,2016,6,29,0.15,N,N,0.0102653760800061,293.1998719469356,0.0384424735713763,0.0438738932157596,24.169444011517818,0.112058908722984,288.1682068112901,0.677676135051601,112.21793021602024,33.81929042887409,3.300616135293672e-05,2.665246685586175,0.9665471595365658,231.96930018521343,63.71841412430663,0.2910059235356758,,0.0
146027,59.1744,-121.4628,2016,6,22,0.2,N,N,0.0107527764270482,289.2349164662032,0.1409233161872406,0.14137584644395443,26.984392559834962,0.0410737256982046,288.17341802353127,0.6856785428560177,111.75061925595308,29.876958901566475,3.723975961055237e-05,2.6019453002740485,0.9661676058831176,226.1319948727344,63.43600714871088,0.2960729574899901,,0.006160650438733249
146028,59.042,-121.5465,2016,7,13,0.35,N,N,0.008870543991518,290.3281827288086,0.0035279869358867,0.05798306297785041,21.127593602252194,0.082494156096062,289.73787912509766,0.6374098043811807,111.5833774034914,32.19377750905131,1.6731616449853785e-05,4.009616540213011,0.9638703384372712,222.15385880747067,71.94504681571064,0.2787681405515674,,0.005942835824287619
146029,59.4247,-120.7795,2016,7,13,0.009,N,N,0.0084536529056368,290.3181575547705,0.0063890993284288,0.05679015371526362,21.259378374836732,0.0876549000070243,289.97682976692386,0.5830988612613572,93.7632376867539,49.98907878907346,1.4250515745217367e-05,3.790962322496488,0.9663024815779876,225.2135872451246,53.10922233216955,0.2530492189220042,,0.004913994123639632
146030,59.3264,-121.1722,2016,7,13,0.009,N,N,0.008609657120337,290.2361655500313,0.0052726018898134,0.05832848610421756,21.07513732420898,0.0931968675087718,289.73171278392186,0.6155750605016788,102.8311745541368,40.64574008614251,1.5741459695544106e-05,3.881099114533936,0.9652862360503236,223.17105132885155,62.05397572375397,0.2674036766903993,,0.01114254364850501
146031,59.8206,-123.5163,2016,7,10,0.009,N,N,0.0090414860023162,291.38316939561327,0.0167927457346428,0.03332273697469694,21.64499881013098,0.1015326955407881,290.33134712746875,0.5909330444791603,100.8200429233096,34.96726952898729,1.5004558115510671e-05,4.94237397221402,0.9649241689300728,215.4778921509072,60.971131948662624,0.247721908545372,,0.010254137081513867
146032,59.1099,-121.1846,2016,7,13,0.3,N,N,0.0088392968612591,290.11324882608983,0.0041694590411501,0.05549330225838002,21.086002264613036,0.0819131928360491,289.6021010647149,0.638461613013747,111.55139235356954,32.26954343397124,1.6716302979125018e-05,3.960477202952545,0.9642642853879472,222.1231509264864,71.46495035519942,0.2786243536440901,,0.010274393425829333
146033,59.1352,-121.2406,2016,7,15,1.6,N,N,0.0085793197849469,292.1707863062031,0.0052734747375106,0.004536954925280195,17.78239431593945,0.3051830144494116,289.5742789307656,0.639840481875336,111.36319820107823,32.39815314374013,1.6747119339182055e-05,3.949680591493897,0.9642819557810364,222.0622732564609,71.15950772845324,0.2790280031032258,,0.008688193357037926
146034,59.4622,-120.7245,2016,7,13,0.15,N,N,0.0084119589290431,290.32287534502933,0.0067199749759351,0.057166884869902235,21.27351363226013,0.0894846094746529,290.0088329534961,0.5769229276229287,91.63052657721433,52.16743831299135,1.392726766985172e-05,3.759929380579833,0.9665343871482086,225.660019462544,50.94584611591915,0.2501942605361557,,0.004388413204933308
146035,59.4633,-123.5908,2016,6,29,0.5,N,N,0.0104770578882957,292.5632337932988,0.0742252049152651,0.07833382639372981,26.807645949621218,0.1702253497341762,288.5147696550137,0.6958266449026305,122.40504993545262,24.54736304321053,2.167664299078726e-05,2.831168211054426,0.9675027913243904,232.2554925802431,69.15240651204532,0.3006382297858412,,0.0030059874959231783
146036,58.8733,-121.4832,2016,8,1,19.9,N,N,0.0098266696349706,291.1646995197383,0.0253098039211184,0.07512045357990554,25.77521085655029,0.0420058864975745,288.35102434458594,0.6050854463663019,83.54109412784261,33.24362572996954,2.7869438014358515e-05,4.134709881603302,0.8775649164880752,185.5478545885948,47.227251512505184,0.2635402491854341,,0.004000274008898449
146037,59.0388,-121.5083,2016,8,9,13.8,N,N,0.0105414425512523,291.15140226097265,0.0368797765464339,0.0607975111421277,28.14818595880128,0.0407511142056681,288.1429546450274,0.611316888856147,83.65104274482884,32.55254990493461,2.8878386346995866e-05,4.1092852547521685,0.8789609644543761,184.70437714181648,47.78627711847234,0.2653419476620403,,0.0028841583028505874
146038,59.5941,-123.2616,2016,8,4,0.15,N,N,0.0089783535605127,291.2051862162012,0.0103422568362624,0.06788088437921808,24.85760291956568,0.0509095558825372,288.3515548002188,0.5988938575869801,82.37286051368241,29.52368425555399,3.676259688458322e-05,4.842193287890007,0.8535524682675552,180.4456474209112,43.924691299559264,0.255210960477985,,0.0008175045227753657
146039,59.1554,-121.0701,2016,8,9,13.7,N,N,0.0103052534338404,291.17030903749804,0.0370808067684004,0.05549615749251959,27.598990487319703,0.041634804592336,288.0888760181094,0.603015000835861,79.44122715441742,34.25679558422259,2.8657353593220337e-05,4.05638737257724,0.8832094586878777,182.4920878912617,44.02420075264301,0.2609647938183135,,0.0
146040,59.033,-121.6141,2016,7,13,0.009,N,N,0.0088638313884329,290.39651752776365,0.0034343973957809,0.058478093969947055,21.151954639735713,0.0822894804888092,289.7943961659277,0.6346436876972958,110.87715373290273,32.88869592256664,1.6624936244685368e-05,4.0178787176924144,0.9638513549163056,222.28622187220216,71.32495661296743,0.2777124939701079,,0.007524267899510372
146041,58.9435,-121.4789,2016,8,1,0.1,N,N,0.0098244333066654,291.0981703195117,0.0251194669623467,0.07423497379074816,25.683177404147337,0.0441680904118112,288.227614495083,0.609841923705463,84.28229685535509,32.35443028641648,2.8249074199768952e-05,4.12289379034897,0.8781362759706973,185.20086666198972,48.33840644794112,0.2652589980083607,,0.00033969574698013426
146056,59.5085,-120.4983,2016,6,29,0.5,N,N,0.0097178758122628,294.1249169102881,0.0201206963575574,0.04668508563595357,24.062405301147155,0.0307595931505675,288.2391464610205,0.6406804008946131,106.78835967181271,35.23050812831758,2.730349289362349e-05,2.5298895316475303,0.9658614525763132,229.471161640708,62.84354290710631,0.2728915565756225,,0.01500874414412964
146057,59.5861,-120.6867,2016,7,13,1.7,N,N,0.0083684528738529,290.35429855256154,0.0073344388065411,0.05899206399023501,21.326888888216004,0.0982115090225978,290.0212326160391,0.5761480813018878,89.47964518376051,53.30175324046798,1.41424439310741e-05,3.7034948527399294,0.966753055847376,224.5814793751992,48.12626727146154,0.2511349844661103,,0.0034654648763271624
