FID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SIZE_HA,CAUSE,CAUSE2,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC,DATE,FLASH_DENSITY,POP_DENSITY
4642,46.55594782,-63.71517829,2019,4,14,8.452463488,H,H,0.0047228442834332,278.9733066221726,0.0052185581711938,0.037062454653388,13.687958602989436,2.678370915836666,275.98925890439455,0.8343613699301162,69.6573936434594,21.81273533423716,5.9074698026643306e-05,2.0543068407342537,0.9308507644156556,153.8497221866719,1.307719849686285,0.3747735338341061,,0.0,1.7705297470092773
4643,46.730755,-64.334786,2019,8,15,0.05,H,H,0.0102052293652514,292.4683128308332,1.43612230791173e-09,0.008335758005201,20.1660032141693,0.890718666220105,292.3170966999146,0.533060536669706,121.83842964748337,20.40903563187076,2.574841634094174e-05,5.876924541921899,0.9592712655303272,209.82620892749216,76.40035838106147,0.2207469899348876,,0.0066624212683458,0.0
4644,46.41853911,-63.96897616,2019,12,18,5.708664754,H,H,0.0020249632400226,268.5369227947382,0.0167219089511719,0.0396972468611793,6.217153339715223,2.168457492072618,269.9071984567676,0.6907037585329847,22.29509618703891,-22.83151779202984,2.7156663196913333e-05,2.557862953613967,0.9130745254926692,44.100843081289845,0.5229963357780752,0.2888337420147281,,0.0,9.66157341003418
150988,59.5711,-128.6357,2019,5,27,1935.0,N,N,0.0069427470622856,287.9692700144004,0.0092269631599954,0.0007074823691135,14.225542810194874,0.3684977152265289,280.0791379672764,0.7290972842333633,83.5578719983896,41.135881575368686,1.5843774472043206e-05,1.4114111252780392,0.9420525683929404,211.03816097675585,27.14908018044486,0.2983657927581362,,0.0067632672856723,0.0
150989,59.8393,-128.1051,2019,5,28,5.0,N,N,0.0074947721683361,288.5666820880186,0.0002078905876428,0.0054613047398446,13.484344587941717,0.097155443148278,280.8622863194444,0.6985030260546397,85.41813548558717,42.44860609910021,1.237180419201091e-05,1.392031768891124,0.9406255042323264,215.360759653834,29.20593654533846,0.2792194900977353,,0.001204679192738,0.0
150990,59.668,-128.5627,2019,7,2,0.3,N,N,0.0092456604869353,289.8949210033203,0.025126632437532,0.0630846502676154,24.418730590463877,0.2419505062601598,286.661205116836,0.6259585829756166,98.66664867502926,38.54717475595216,2.9128529501899703e-05,3.155234457134093,0.9685563019763184,212.5370704423828,57.83078597797845,0.2396215483841324,,0.0030083072790308,0.0
150991,59.8671,-128.0752,2019,7,20,0.1,N,N,0.0093956373320804,289.0844219944531,0.0123243510714183,0.1224315572682241,22.938072719505247,0.0260550497244235,287.2462945694336,0.5872114507068291,96.98983617116356,39.86654870622118,1.9379079818947925e-05,3.136390869186432,0.9677704830446624,213.13555476102147,59.077864411980194,0.2195087674723072,,0.0133387223243862,0.0
150992,59.4628,-127.6765,2019,7,16,12.9,U,U,0.0078336985047775,286.50823885902344,0.0044876615020877,0.0872260808275317,18.588079512591552,0.0507675687556485,286.6241766810938,0.6414127655830005,99.91130751688974,36.2813089531982,2.5401702343942607e-05,3.356647531733705,0.9677791915684129,210.76862430550784,59.32636128128916,0.2500056666891385,,0.0,0.0
150993,59.9897,-127.6673,2019,7,20,1.5,N,N,0.0094683835289227,289.1982105952246,0.0152085365434728,0.1133824970024658,22.87945670745281,0.0420856837914744,287.1973992322266,0.5875150951715482,95.79011138061472,39.43986989283478,1.7813718584912392e-05,3.0817718956079254,0.9671608420021248,211.27555429086723,56.06417865485917,0.2184871723996097,,0.0026952114603665,0.0
150998,59.1299,-131.9359,2019,7,7,400.0,N,N,0.0098868597760169,289.8751140448496,0.0220536043676138,0.0523363219619984,19.862802717950263,1.0744348507173933,285.44483643170315,0.6695723393595298,93.14715284173415,35.63185166981916,2.825194952649584e-05,2.318081106335594,0.9635188532727488,201.1224260057363,25.550573451822125,0.2609356132562266,,0.0009072371737876,0.0
151007,59.8588,-121.4898,2019,7,18,4.1,N,N,0.0098319422888369,290.9182399108984,0.0190205035457248,0.0895542612991771,24.366361211970705,0.0828648434656892,288.3629306225,0.6381123043869782,85.76858125386715,46.92716332423049,2.5647898897533743e-05,3.8959582271495368,0.9655243879438627,210.95939240947263,44.01834507956049,0.2760493440366975,,0.0310798033288893,0.0
