FID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SIZE_HA,CAUSE,CAUSE2,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC,DATE
4859,46.45280069,-64.05147377,2021,5,14,0.4,H,H,0.0055430544141061595,282.38590380589466,0.0057155398013373345,0.04099415238848567,12.058463666783311,1.0086198185707391,282.33140344924226,0.6504014503083321,92.51395985441376,40.90859227698493,3.255148007014086e-05,2.7155696161679126,0.9692545012961497,203.46054502842784,29.972888327982965,0.269841799113271,
158878,53.7659,-125.1054,2021,8,4,0.5,N,N,0.010383972765404287,291.6060265933828,0.009925248823215735,0.0600858102790957,28.243308607768437,0.29639315971210006,287.478813425875,0.4278549324157488,51.980218221566936,76.37745710757957,1.812947069087893e-05,4.754319333008181,0.9593762726539878,201.33088346984573,11.086645560739278,0.1979442626096736,
158879,55.1034,-121.1155,2021,8,4,0.7,N,N,0.008982851556544302,292.3636062677344,0.008696702310585846,0.01735022435941192,24.50001459662354,0.12259095030546988,285.93355252333987,0.4843392464990136,54.56376532387197,50.5918913440528,2.605050619923625e-05,5.459811452086486,0.913250783539562,175.16012321853515,19.65801348367789,0.1969700292135286,
158880,51.8266,-119.169,2021,7,11,2.1,N,N,0.009663964650733471,289.6917019666406,0.04227947191593414,0.046182047904687,19.164153942232666,0.1723076894600525,288.5211840363281,0.6044468347870254,127.52929893674788,20.179709999260343,1.336201082911058e-05,3.5811121016908123,0.9731231014918515,229.2777489083984,89.33238499032201,0.2247668865092085,
158881,50.1776,-121.5657,2021,6,16,5017.1,H,H,0.00585909892174137,282.40060079910154,0.0026579353173770254,0.13057291311763816,11.028240127535152,0.03816620272372476,286.0312015633516,0.5853257036967459,98.08146923463266,76.2425553369709,9.855735982360046e-06,2.668520572191532,0.9679989930944368,259.6593271467969,53.74924224090427,0.235471946464851,
158882,55.2605,-122.6854,2021,6,19,0.009,H,H,0.006387489520162344,283.5268031056836,0.0030418486081323012,0.06469288827137114,12.579630757314758,0.11435905430023212,285.7639782917871,0.7606024544038589,124.89613326699458,36.9840536881592,1.8670347975446505e-05,2.540498473112946,0.9636921162785912,245.36385423808105,55.301755532585474,0.3142734653228956,
158883,54.9597,-121.471,2021,7,1,0.009,N,N,0.014798293421844546,296.1892936120508,0.07833383244739875,0.06605518926720134,31.946103759136964,0.009822282397752543,286.9562313441699,0.5742846458624087,95.60024271124055,56.58536528531711,2.206567244045613e-05,4.453579831914823,0.9731961938097,229.04615593312988,50.43562913159205,0.2234420907386401,
158884,50.0521,-118.4373,2021,7,2,0.12,N,N,0.012914090929147467,293.4305340698994,0.03552814004479275,0.09468712481208219,29.10584238968178,0.13685356094804443,290.28080866767385,0.5459566558796803,141.36895325431982,22.856193343384057,1.6099319448765122e-05,4.641783528153472,0.9804084032186966,251.3257085987733,111.63449291414452,0.2092544164983943,
158885,50.523,-122.4966,2021,7,4,0.23,H,H,0.009481033557898397,290.22268051376955,0.010464795085602493,0.08415500898922944,19.51528003858643,0.21797852056026543,287.4757885025781,0.5455701140101232,114.06342514196254,68.16532545645047,4.108356259501326e-06,2.84121728775818,0.9694009415715028,266.9171213556738,76.42696608691193,0.2145020417164513,
158886,51.6549,-119.5904,2021,7,1,0.009,N,N,0.013605796816270532,296.76150285758985,0.04139257225364439,0.005493175787059675,24.686782374076188,0.2150533114868113,289.1546514312129,0.604360685580284,128.69900926436728,17.823488151716663,1.3360719504640987e-05,4.025661122091047,0.9765266280056648,227.45293982799316,93.51227133675988,0.2329997377537572,
158887,50.7925,-119.9406,2021,7,2,0.009,N,N,0.011356529088427112,295.6815719099121,0.014820663529813071,0.034329008518469206,25.717335767224093,0.08427182994788142,291.8789967952148,0.4396943705642699,68.88926483812197,62.2310101483587,1.482562288468161e-05,4.521788221251666,0.9796254172852517,217.3493590673584,37.63812349128968,0.1864019762373927,
158888,56.0315,-123.1895,2021,6,30,2.0,N,N,0.013302836890636388,297.0297609563476,0.010742638447023934,0.00038764765756958946,26.862375234326162,0.1796488543547889,285.1357786120361,0.7275187699195397,119.81112490664052,39.25845719996345,2.2177562237056592e-05,2.396598478378196,0.9615839236930848,244.34319484693603,56.08441183978567,0.2893171368590124,
158889,54.041,-123.9183,2021,7,6,4.0,H,H,0.00821970574871659,292.73269984606446,0.004526060391595007,0.0013791187898969438,17.338268274701537,0.18353454354270043,290.08716568630865,0.5103351916480442,81.62447275721415,69.39807853100717,2.1126810531665657e-05,4.1968766586232,0.9766165064460944,232.4143064007714,30.29070113027941,0.2308830201258324,
158890,49.3766,-124.6233,2021,7,21,0.009,H,H,0.007844402375076952,288.3027409915117,0.00015907009052428323,0.06881407180452061,17.502826988690874,0.9696449006586968,291.55235022257034,0.4014841912626541,116.93097756464437,82.82712040909634,7.949553936680562e-06,6.201505047636958,0.986307928682808,277.8082368722168,95.69717149613076,0.1624500411692004,
158891,52.2058,-121.9287,2021,7,21,0.01,N,N,0.0073838575681649705,289.4087085249492,0.010613224368724233,0.0665495621555776,17.169087776670658,0.042609336744873966,291.6888228487773,0.5296446535039506,77.47760977518477,72.55869236869782,4.80679353362791e-06,4.030571467732732,0.9774180097017708,236.4248699600732,35.864492856753884,0.242240024487299,
158892,51.8767,-122.1383,2021,7,21,0.009,N,N,0.00670896620410688,289.3356326010283,0.008082060284005994,0.05942990088940108,15.975440364446744,0.03701524680813557,291.9325720748867,0.4910595261114786,58.87840631262424,90.21549145983144,4.946814873755177e-06,3.719846683335696,0.9764994058884736,238.14504426483663,18.425089254230944,0.2298700563131422,
158893,50.3926,-118.0164,2021,7,21,0.5,N,N,0.007732346356751622,288.65851989514454,6.289650076710431e-05,0.0044855020518618175,12.349001507413096,0.28337912806926635,289.61965397261326,0.5767729234019091,143.6914270982012,16.82913202782563,1.3571025341723263e-05,4.330713967054997,0.9788625710388564,247.03035190694916,108.34143787931936,0.2206653096060735,
158894,51.0731,-116.442,2021,7,21,40.0,N,N,0.00738484688749805,288.6036509920411,0.0002160188413424098,0.011273789838423124,11.806984998076485,0.2068816897729225,288.0536510868555,0.5949251088352394,111.32605359610106,47.496034560512655,9.957448653182664e-06,2.564238335297703,0.965789005697403,254.72050954731927,64.34714372796758,0.2374474597566508,
158895,49.801,-122.7607,2021,7,21,0.6,H,H,0.007783418570985343,284.78702315481445,0.00015280871222195529,0.15117181766908624,13.972557732681869,0.17296521164852902,288.38196971671874,0.6107429148720167,123.241774854214,60.97506168714348,5.044257902897351e-06,3.759285374754186,0.9753782103129196,257.51626005473645,85.53324676719498,0.2340861491671465,
158896,51.6481,-119.5286,2021,7,16,0.009,N,N,0.010169888146384658,290.388119607457,0.0065269841435575595,0.04111926682981271,22.849503625660887,0.2102134327355969,289.0975244455586,0.6042685759948463,129.27157133498747,17.15008094647737,1.375276208473862e-05,4.005938369582192,0.976379131386116,227.33981667069332,94.13360227820525,0.231509860671247,
158897,51.522,-117.2674,2021,7,2,0.009,N,N,0.012981265349731444,292.0202058078125,0.14906559662906635,0.08457620550511342,24.906246932395014,0.4029104593870533,287.11009936941406,0.6588660509857932,115.84255637219732,34.04586251463371,1.1774687544801275e-05,2.2889809256460625,0.9639579822007752,238.06297896345689,63.01981631339866,0.2554983026916116,
158898,50.6591,-118.3655,2021,7,21,101.0,N,N,0.007726903679959329,288.74361458447265,7.486985169600141e-05,0.005810959980690651,13.43225989599609,0.23179693508358354,289.8683251942529,0.5821129987563423,131.24874568078377,19.636051639942256,1.6233096248634807e-05,4.347281668874429,0.9784180344000148,235.347177561521,95.98598197926272,0.2239956780289125,
158899,52.8225,-120.8357,2021,7,21,0.09,N,N,0.007669363034354899,285.78964962839353,0.012269111406361324,0.07420241314429642,14.775420131518567,0.16789080396459943,287.4560015857666,0.6347035771656513,127.7801017720277,33.80707842824545,1.1213443941510891e-05,3.425249835283283,0.9726146228140832,242.23539679051515,84.35678688629164,0.2460662106540322,
158900,49.3795,-119.6168,2021,7,22,0.57,H,H,0.0054196865534642345,286.7125680115332,0.0009945813455502334,0.018831917495756426,10.32358594237839,0.14777705814713743,292.464716604541,0.3827350123466965,59.828331992440106,110.26519709388202,4.004879710140666e-06,3.695954875544357,0.9751289253450964,269.65932872296884,33.05144752277581,0.1677943277361963,
158901,50.7502,-119.8026,2021,7,1,2.5,N,N,0.012476935851702453,299.0388912594062,0.013407123579985728,0.0033504830766032593,27.082608639018552,0.14071879268369572,291.9770683709297,0.4389368406631012,72.45407518340575,59.01585070102056,1.6653347633910547e-05,4.636888506421949,0.9800251521212692,217.13839815163476,41.06643420508787,0.1835020481576001,
158902,51.0164,-120.1742,2021,7,5,0.009,N,N,0.009544547187848092,291.9933302129375,0.04562331154835036,0.101142362148285,23.934648730226083,0.24079421867320103,291.82293583832035,0.4439142000319062,66.77718318028533,63.37274275057016,1.1233588715506724e-05,4.3275933615127045,0.9789576742346192,216.7051820742852,36.17950596648945,0.1933972527704961,
158903,54.095,-124.7759,2021,7,6,0.009,N,N,0.008198524485072491,292.74163161992186,0.0025746670345917697,0.000828268053908739,17.178144945391846,0.2698728584417002,289.370824062793,0.5033264151502609,88.29560857872293,68.3189754945801,2.2384191125220903e-05,4.11729261510315,0.9759718629123688,236.8080476396483,32.28157841246024,0.2272315997592926,
158904,50.4334,-120.3804,2021,7,1,0.3,N,N,0.011479408739889745,298.11014731942186,0.006168515689061281,0.0024063303899288543,26.127258501219245,0.10503593548333724,291.6732993185039,0.3988831863874353,54.65635315199448,82.0417060622063,1.043360618042102e-05,3.88188679810808,0.9770807902696532,226.11444233029115,25.835042728835365,0.1737055112590788,
158905,52.049,-118.2942,2021,7,13,1.0,N,N,0.007872608019002381,290.68536518328125,0.0030451719766394834,0.0010015367571148226,14.301784483803715,0.1260379471261645,287.10048024625,0.6254776239818959,117.60424944336415,28.48453266759772,1.4445146719133484e-05,2.55596482844863,0.964644670979576,229.6941114869043,68.14261495122537,0.2326064417467882,
158906,51.7608,-118.6362,2021,7,1,0.03,N,N,0.012075132033272745,297.65559136987497,0.03021025844123942,0.0033389444802324783,20.357708210571293,0.3765716756073491,288.1297039682969,0.6084313503376465,122.34120271642188,23.27356109880664,1.4860355896431014e-05,3.1921693057650127,0.9702869480446472,228.06660690042187,81.4985402958828,0.2237479205495681,
158907,51.7548,-126.6169,2021,7,14,0.009,N,N,0.00860802417366004,287.0782608139141,0.0031395907040819115,0.046247879000782366,15.664165492437874,0.28795791814871285,286.3406326465,0.6581770584677505,110.89432768252912,50.73633755409857,2.4817798513693396e-05,2.61277565854574,0.9685442124399566,228.28376694532605,54.28289312310965,0.2640156085241622,
158908,49.3489,-115.4601,2021,7,12,0.009,N,N,0.006901630033302874,294.4597344451494,1.0747646013562749e-06,0.00020215632102909376,14.677503939895749,0.3076334389711002,293.47902566550295,0.3555962443695002,49.81964385976393,114.1256200073463,3.5157158719618133e-06,4.021081891011284,0.9761171273142664,269.5603154641592,19.458558923752197,0.1612849870208108,
158909,49.6424,-125.1167,2021,7,18,0.009,H,H,0.008153999064735063,287.860370144625,0.02261516164561028,0.05201013384998396,21.684465771497102,0.29827748686900696,290.8792720075704,0.4217546017349825,124.21065604185348,68.4003494630811,8.346564509629155e-06,5.66001573044373,0.984889956636856,272.2486104351955,100.64917181138868,0.168034785800109,
158910,49.827,-122.7834,2021,7,19,0.2,H,H,0.008626895896004443,288.642024366875,1.6053392909967502e-06,0.004322549528226461,14.721589941011974,0.10079712057015898,288.2784966411914,0.6110229192983246,122.85113903592286,60.88397106700685,5.199587367096094e-06,3.701185266568912,0.9749493320035172,257.2621301137208,84.62501479915042,0.2342040462655162,
158911,53.4308,-124.9515,2021,7,26,3.55,N,N,0.007449186449525652,286.1513720030078,0.01156977055652974,0.10793161836760028,18.175962223189696,0.3041367842209789,288.9282495122461,0.4495952215634349,68.73413471274667,81.835524897505,1.6843519025393188e-05,3.717423041795499,0.9759208152939988,231.22271660846695,20.81975649820135,0.2056855450188256,
158912,49.9067,-121.5862,2021,7,31,405.0,N,N,0.010009033103626127,293.51968386201366,0.056083329178742126,0.033727097180351245,24.988672374409038,0.11562508459730474,288.4503011265781,0.543363194058348,115.869543669552,63.87017335025165,4.782313546911929e-06,4.189834087215954,0.978077333299324,258.2185366346407,84.92441006322815,0.2111505534654557,
158913,49.6827,-121.7927,2021,7,31,465.0,N,N,0.01053592833185933,294.73471293366896,0.05760573870760864,0.030222252474330264,26.716476303509126,0.287919810533238,288.68596893541604,0.5647198505065906,126.57154314785322,61.17002954707545,3.8921796536855135e-06,4.607349137317245,0.9801689825908394,263.45940970959185,96.49483590322386,0.2136015015721014,
158914,50.4998,-120.0436,2021,8,17,0.3,H,H,0.007703196955354811,282.9600339144961,0.027108974525189865,0.0853462235793763,17.926845873607668,0.04327837215588932,287.74098753445315,0.4342589889203721,51.67829119626124,43.77358469540864,1.8348850084444505e-05,5.0170809235514575,0.9624026590881424,162.5616054811601,23.17972573482055,0.180231931634264,
158915,50.2116,-117.6591,2021,8,30,0.009,N,N,0.007184870798203165,287.2875715554688,0.024861769163290207,0.014852856563495326,13.367351082352037,0.2560786672039392,285.01272114614846,0.5227630627588118,94.93122729998248,25.42096746533744,2.686270617826612e-05,5.6096039905433335,0.9570553860412596,181.29082348577356,64.61882638282475,0.1932659225604399,
158916,51.1799,-121.8899,2021,10,1,0.009,H,H,0.004467822685278297,278.78693574201765,0.013187196913846783,0.06317509016145927,8.905323444803374,0.15147402854021702,274.92572020025875,0.4338569445283592,20.03022287312637,15.436855647486627,1.5338969594517804e-05,3.442522160919059,0.9005669316858863,88.45192135980268,2.373083493984094,0.1900190756679299,
158917,52.1003,-122.1071,2021,10,3,0.009,H,H,0.004446864858119053,279.3031430496006,0.0007854725497107645,0.02726797342321137,9.233199801566952,0.12584068165277884,275.9372359329033,0.536031063921257,23.71910492821831,4.566068595068214,1.8349461459774445e-05,3.693822406126,0.8991703439993974,78.98635205930347,2.993408325630092,0.2450197891348595,
