FID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SIZE_HA,CAUSE,CAUSE2,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC,DATE
142050,53.3397,-132.3667,2013,7,5,0.009,H,H,0.007499694,286.0536548236016,0.000233764,0.1004366336680116,21.21349004182697,2.9973258284642275,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
142085,53.6189,-132.3968,2013,8,9,0.2,H,H,0.008872303,287.62898572354493,0.002663239,0.095858236,21.990173620680647,1.7211869499101644,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
142086,53.6611,-132.3663,2013,8,10,0.009,H,H,0.008278211,287.2257558781104,1.0217301860874518e-06,0.027676989,19.130001538860235,2.358994246516525,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
142087,52.9524,-131.9046,2013,8,17,0.009,H,H,0.009870247,288.2293309136875,0.006341449,0.2454433278935199,26.35649585833644,2.530155992808075,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
144527,49.3662,-121.3711,2013,8,26,0.1,H,H,0.008306823,285.5079314803769,0.033614213,0.085043849,19.755437657213985,0.1617656094236002,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
144528,49.2627,-121.4532,2013,9,9,0.009,H,H,0.009865543,287.2412982989531,0.005119531,0.0457785628513658,20.44295558830833,0.1418961397582626,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
144529,49.253,-121.3567,2013,9,14,0.009,H,H,0.009336367,290.22269522765623,0.000113541,0.00089291,15.215920900488609,0.3005536643022339,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
144530,49.5966,-121.3448,2013,10,17,25.0,H,H,0.004159623,275.3919599485195,3.2961328456623824e-07,0.000649345,7.431414654456491,0.4463599831292965,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
144531,50.3923,-122.8799,2013,4,23,1.2,H,H,0.003445221,271.1061990020273,0.017253947,0.0179430027300487,5.718277344158122,0.4364201609676318,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
144532,49.2995,-121.3106,2013,7,16,0.1,N,N,0.007508898,286.7753456132226,0.0,2.3838193425987607e-05,9.398039447823162,0.1412214498903865,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
144533,49.3079,-121.2996,2013,7,17,0.009,N,N,0.009076476,290.31653059093753,0.05798278,0.028793619,20.97228708317688,0.2349806456858719,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
144534,49.5172,-121.2905,2013,7,16,0.009,N,N,0.007316109,286.3559914719335,0.0,2.942505134476612e-05,9.307590811087024,0.1620011138753165,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
144535,49.2357,-121.3829,2013,7,14,1.9,N,N,0.00712526,285.54930388076565,0.00014036,0.007320485,12.081879361697087,0.09390796,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
144536,49.2406,-121.3846,2013,7,14,1.0,N,N,0.007128541,285.54839393756646,0.000143116,0.007419581,12.099471709368562,0.096256945,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
144537,50.0205,-123.3033,2013,7,7,0.009,N,N,0.008291456,288.4740455219873,0.034560162,0.0509432985738241,17.271855591186203,0.1103898849766405,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
144538,50.3056,-123.5725,2013,7,7,0.47,N,N,0.007956605,287.2600349,0.0432685598945618,0.062565243,16.496088684375017,0.2011886049260887,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
144539,50.2433,-123.5592,2013,7,7,0.1,N,N,0.008151313,287.6488528832383,0.041669338,0.059477491,16.83865737884908,0.1750622945945847,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
144540,50.2186,-123.5351,2013,7,7,0.009,N,N,0.008195901,287.77833143494723,0.0408118043787539,0.058281306,16.928076765749378,0.1653941523208006,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
144541,49.7935,-122.1174,2013,7,7,0.009,N,N,0.007831243,289.2553995538574,0.0163367514823094,0.0347906095990085,16.36849402694915,0.2090294960847863,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
144542,50.2402,-123.5559,2013,7,7,0.009,N,N,0.008156738,287.6652004980644,0.041556747,0.059324326,16.84963806973228,0.1738460597513292,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
144543,50.2178,-123.5174,2013,7,7,0.1,N,N,0.00816953,287.7625748321992,0.040574935,0.0582509980597847,16.891395891511603,0.1657053430774362,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
144544,50.1694,-122.4678,2013,7,7,31.0,N,N,0.007040565,287.8098814798633,0.023803932,0.0435939023258557,14.98987226006872,0.2610844896327176,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
