FID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SIZE_HA,CAUSE,CAUSE2,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC,DATE
146052,59.6348,-120.0033,2014,7,29,1.9,N,N,0.009280613,294.6045836830469,0.001017593,0.0111578290433316,22.93414368573364,0.2464948610750387,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146053,59.504,-120.3898,2014,7,29,312.3,N,N,0.009201819,294.42356399140624,0.001299341,0.0116464254759096,22.821025026416013,0.2125760790156006,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146054,59.5503,-121.0108,2014,10,5,0.05,H,H,0.005310219,277.30372040199217,0.0116280050645787,0.034012484,9.603150813358765,0.042710166,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146066,57.6983,-121.1341,2014,6,28,0.1,N,N,0.009252108,289.9184902324551,0.05351824,0.096329832,22.73198320316608,0.035566764,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146067,57.1667,-121.838,2014,8,5,0.009,N,N,0.009093152,293.49111168710937,0.0162530132484817,0.004337738,20.654117611566164,0.1794448360383546,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146068,57.5179,-121.8855,2014,8,13,4057.0,N,N,0.00970644,293.8759706127344,0.005349916,0.001512043,21.792359450254526,0.010211392,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146069,57.6978,-122.3494,2014,8,6,0.009,N,N,0.009304783,288.4644119872031,0.016916822408388,0.096914359,23.23221945654345,0.096227488,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146070,57.7377,-121.6461,2014,7,30,0.1,N,N,0.008990829,291.9247753,0.002847164,0.0197875090960999,21.705867941552352,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146071,59.7105,-124.0763,2014,7,15,0.3,N,N,0.011699187,294.41677834187016,0.043926568,0.066588418,26.75595962966032,0.1199450207494622,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146072,59.7075,-124.0696,2014,7,14,0.009,N,N,0.0126241811597585,296.62753818906253,0.006528688,0.008064737,25.59044709628907,0.1022318397452209,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
