FID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SIZE_HA,CAUSE,CAUSE2,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC
4859,46.45280069,-64.05147377,2021,5,14,0.4,H,H,0.005543054,282.38590380667284,0.00571554,0.040994152,12.058463666143188,1.0086198181184691,282.33140344924226,0.6504014503083321,92.51395985441376,40.90859227698493,3.255148007014086e-05,2.7155696161679126,0.9692545012961495,203.46054502842784,29.972888327982965,0.269841799113271
158878,53.7659,-125.1054,2021,8,4,0.5,N,N,0.0103839727654042,291.6060265933828,0.009925249,0.06008581,28.24330860776844,0.2963931597121,287.478813425875,0.42785493241574885,51.980218221566936,76.37745710757957,1.812947069087893e-05,4.754319333008181,0.9593762726539878,201.33088346984573,11.086645560739278,0.1979442626096736
158879,55.1034,-121.1155,2021,8,4,0.7,N,N,0.008982852,292.3636062677344,0.008696702,0.017350224,24.50001459662354,0.1225909503054698,285.93355252333987,0.48433924649901366,54.56376532387197,50.591891344052804,2.6050506199236254e-05,5.459811452086486,0.9132507835395621,175.16012321853515,19.65801348367789,0.19697002921352866
158880,51.8266,-119.169,2021,7,11,2.1,N,N,0.009663965,289.6917019666406,0.042279472,0.046182048,19.164153942232662,0.1723076894600525,288.5211840363281,0.6044468347870254,127.52929893674788,20.179709999260343,1.336201082911058e-05,3.5811121016908123,0.9731231014918517,229.27774890839837,89.33238499032201,0.22476688650920856
158881,50.1776,-121.5657,2021,6,16,5017.1,H,H,0.005859099,282.40060079910154,0.002657935,0.1305729131176381,11.028240127535152,0.038166203,286.0312015633516,0.5853257036967459,98.08146923463266,76.2425553369709,9.855735982360046e-06,2.668520572191532,0.9679989930944367,259.65932714679695,53.74924224090427,0.23547194646485106
158882,55.2605,-122.6854,2021,6,19,0.009,H,H,0.00638749,283.5268031056836,0.003041849,0.064692888,12.579630757314758,0.1143590543002321,285.7639782917871,0.7606024544038589,124.89613326699458,36.9840536881592,1.8670347975446505e-05,2.540498473112946,0.9636921162785912,245.36385423808105,55.301755532585474,0.3142734653228956
158883,54.9597,-121.471,2021,7,1,0.009,N,N,0.0147982934218445,296.1892936120508,0.078333832,0.066055189,31.946103759136964,0.009822282,286.9562313441699,0.5742846458624087,95.60024271124057,56.58536528531711,2.206567244045613e-05,4.453579831914823,0.9731961938097,229.04615593312988,50.43562913159205,0.2234420907386401
158884,50.0521,-118.4373,2021,7,2,0.12,N,N,0.0129140909291474,293.4305340698994,0.03552814,0.094687125,29.10584238968178,0.1368535609480444,290.28080866767385,0.5459566558796803,141.36895325431982,22.856193343384057,1.6099319448765122e-05,4.641783528153472,0.9804084032186966,251.3257085987733,111.63449291414452,0.20925441649839438
158885,50.523,-122.4966,2021,7,4,0.23,H,H,0.009481034,290.22268051376955,0.0104647950856024,0.084155009,19.51528003858643,0.2179785205602654,287.4757885025781,0.5455701140101232,114.06342514196254,68.16532545645047,4.108356259501326e-06,2.84121728775818,0.9694009415715027,266.9171213556738,76.42696608691193,0.21450204171645137
158886,51.6549,-119.5904,2021,7,1,0.009,N,N,0.0136057968162705,296.76150285758985,0.041392572,0.005493176,24.686782374076188,0.2150533114868113,289.1546514312129,0.604360685580284,128.69900926436728,17.823488151716663,1.3360719504640987e-05,4.025661122091047,0.9765266280056648,227.45293982799313,93.51227133675988,0.2329997377537572
