FID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SIZE_HA,CAUSE,CAUSE2,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC
0,51.8197,-122.0729,2023,9,27,0.01,H,H,0.005283509,280.3301439185948,0.028857922,0.061573145,12.50265644776003,0.0163678133476177,283.52742507819727,0.4830207975130219,33.98367052842203,42.33978935784258,1.1540846654144442e-05,4.296792496102254,0.9317791013005412,148.48157543671536,5.891028160802426,0.22571880012220788
1,54.5692,-128.4611,2023,6,2,1.4,H,H,0.005578864,281.8248049278906,0.0320739956683921,0.08496296,13.500747104417352,0.224204384,283.1691814393203,0.7356710565235366,94.98427151267686,60.19819140582488,2.2162980314548104e-05,2.1545534641108124,0.9600465281680298,226.87441769348465,44.53499859839222,0.30215051977246477
2,50.1166,-119.2738,2023,6,27,0.009,H,H,0.00858589,293.23521934048046,0.01842083,0.037652355,21.23716361730101,0.2262028879288968,287.50360816867965,0.4907207875244079,81.06217134763693,82.0082060740437,1.623732523176458e-05,3.346322954278317,0.9745548039740752,250.3270655953202,41.868389322849026,0.20488489010984284
3,54.227,-125.6543,2023,4,28,1.1,H,H,0.004288871,279.59796456845703,0.0176702054625875,0.0167208506349408,14.606514236073595,0.3687435515389478,273.6822448987598,0.7752496636635972,47.174839165255165,16.74270128673045,1.990303283092679e-05,1.5552265240548317,0.9439132622594261,142.58387020883313,10.9751877995148,0.3262084037041092
4,49.5187,-119.5348,2023,4,17,0.009,H,H,0.003236861,272.8029946255469,0.022737871,0.077668106,5.400778992308442,0.2296917137675056,273.9274775451407,0.5530510394895501,45.85467686819077,35.626887917209075,1.9270003484636035e-05,1.8854837499435007,0.9557376977100068,159.83934466876502,14.515486555567195,0.22257441010699977
5,52.2471,-122.0648,2023,4,29,1.0,H,H,0.005878188,284.08755113902737,0.007077433,0.001526525,12.02654024698053,0.097590523,275.97542170679884,0.6944394448044734,57.022810691749235,27.901892908131067,1.1166538653469122e-05,2.1812728105159396,0.9597718900010451,167.9871928084404,25.67221907230731,0.29910075443530054
6,49.419,-117.6083,2023,5,3,3.5,H,H,0.007927126,287.5971292023535,0.1000933076972675,0.0224012779731745,18.800050568482074,0.3900790844950187,284.9431346590625,0.6295541591161906,99.01911344334717,39.18469177658737,3.71661288439768e-05,2.0478403320404053,0.9583386037707138,217.21352008237287,50.48304658201049,0.23908605032981806
7,54.0927,-125.9594,2023,6,4,0.2,H,H,0.005140749,280.7479655947207,0.0341177240600083,0.1120388243850937,12.158545997591794,0.3828977367580878,285.9309412743808,0.5556217407915774,77.35730028520423,83.1363872367714,1.3911304608958638e-05,2.6047596519784935,0.9665937095634803,250.83260327429883,29.95578121878407,0.24646586963498043
8,49.7995,-123.102,2023,4,29,0.04,H,H,0.004637771,280.7743941805664,0.003993199,1.972085388114191e-05,11.08948111276702,0.7832124889513699,272.11149598076173,0.7307202963011737,35.171383597863695,5.017257151711009,7.332860633764645e-05,1.5549333832746475,0.9290622990797041,94.17722448290999,4.821876787108453,0.2888393981685636
9,54.9928,-125.913,2023,6,27,0.1,H,H,0.009825028,290.0756197,0.005226426,0.06478684,25.55174799146973,0.3973942845475054,285.094582134375,0.6798417337553413,103.09824888369143,58.8806848910742,1.686718113568613e-05,2.362496639110103,0.9621238488067627,245.24036583320313,48.99282047329092,0.2858687172497562
10,51.4915,-117.2662,2023,8,15,0.5,H,H,0.010424208,290.4984792230664,0.000449594,0.000147673,20.90339584871582,0.2983125468426596,284.5830620077539,0.6202990077700428,94.65983504187254,29.56742962819338,2.839378974499355e-05,3.2481366987895903,0.9480017920025253,197.41825080218752,57.65252422413691,0.2279944175371792
11,54.6377,-125.7244,2023,8,31,1.67,H,H,0.006948581,286.63739403773434,0.0200402050696533,0.067393404,15.887633744035885,0.3471473327628478,287.7901203705293,0.4849907418569566,68.96292000889699,54.49315069164622,1.4458753129015975e-05,5.148885674780882,0.9467343588972968,201.02494159808984,26.256211637550066,0.22038955661538798
12,54.5359,-128.5502,2023,6,10,0.1,H,H,0.007271173,285.0454874521856,0.026653535,0.0487905193510406,14.672089319791263,0.4047331034956837,283.1925830371543,0.7362973988064156,94.25159145248688,58.8519776071808,2.223538765306907e-05,2.1310397555991996,0.959676469388466,224.85397789984592,43.53244787283849,0.3024330961743814
