FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,DATE,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC
148416,BC-2013-2013-K30820,BC, ,2013-K30820, ,51.0772,-119.0087,2013,8,26,2013-08-26 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0090509345529666,287.02477520589065,0.0471722760730852,0.1484067841515885,21.316894050604027,0.3695023009425912,,,,,,,,,,,
148417,BC-2013-2013-K30844,BC, ,2013-K30844, ,50.7387,-119.024,2013,9,3,2013-09-03 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0090190510281348,292.5404828291406,0.0081347821276742,0.0185733904184859,22.145140800295408,0.3972512660096755,,,,,,,,,,,
148418,BC-2013-2013-K30846,BC, ,2013-K30846, ,50.8591,-118.9767,2013,9,3,2013-09-03 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0089524413911566,292.52901662412205,0.0072555677356763,0.0169886664459116,21.858324506918382,0.4523953684971549,,,,,,,,,,,
148419,BC-2013-2013-K30848,BC, ,2013-K30848, ,51.0684,-118.8714,2013,8,24,2013-08-24 00:00:00,,,0.3,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0084665128666374,286.43490779903124,0.0030019592456541,0.0663065599859525,20.17328516066944,0.4181196142856104,,,,,,,,,,,
148420,BC-2013-2013-K30855,BC, ,2013-K30855, ,50.909,-119.1374,2013,9,3,2013-09-03 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0089767287745642,293.19748711208985,0.0067275513441941,0.0181495314860129,22.24244128038208,0.4468338402497923,,,,,,,,,,,
148421,BC-2013-2013-K40045,BC, ,2013-K40045, ,50.4571,-118.8403,2013,5,6,2013-05-06 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0055089744564094,284.84196387346776,7.3924939454746e-06,0.0,10.568857106620298,0.5109050907676871,,,,,,,,,,,
148422,BC-2013-2013-K40064,BC, ,2013-K40064, ,50.3695,-118.9478,2013,5,13,2013-05-13 00:00:00,,,0.5,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0065944787742181,282.240236021875,0.0570226100965845,0.1135060226356577,15.572832142470098,0.3703872493024782,,,,,,,,,,,
148423,BC-2013-2013-K40207,BC, ,2013-K40207, ,50.4511,-118.9399,2013,7,19,2013-07-19 00:00:00,,,0.2,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0095191354236822,292.15753173432125,0.0010836765945302,0.0358024168485531,21.861408320214625,0.245629535090105,,,,,,,,,,,
148424,BC-2013-2013-K40374,BC, ,2013-K40374, ,50.5487,-118.3751,2013,8,1,2013-08-01 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0079739781714557,291.39356513901663,0.0304093838621695,0.0230473113880849,17.136746945954236,0.3894033747267122,,,,,,,,,,,
148425,BC-2013-2013-K40379,BC, ,2013-K40379, ,50.6751,-118.3309,2013,8,1,2013-08-01 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0080045330068374,291.1119846753623,0.0274141814909825,0.0216630874585108,16.872583547784302,0.4039381576347755,,,,,,,,,,,
148426,BC-2013-2013-K40397,BC, ,2013-K40397, ,50.55,-118.8306,2013,8,2,2013-08-02 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0088503282318711,290.9261058164063,0.0411451118727325,0.0986928848092555,22.800637292175303,0.219921358175643,,,,,,,,,,,
148427,BC-2013-2013-K40497,BC, ,2013-K40497, ,50.325,-118.4227,2013,8,7,2013-08-07 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0088128107227906,290.93536404492187,0.0063637012163624,0.0266241267039626,18.74273017755129,0.0399956512308636,,,,,,,,,,,
148428,BC-2013-2013-K40546,BC, ,2013-K40546, ,50.6888,-118.3346,2013,8,10,2013-08-10 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0092871134724259,291.66087522625,0.0086002765251378,0.0139798435695695,19.078654407975563,0.4396843972322138,,,,,,,,,,,
148429,BC-2013-2013-K40548,BC, ,2013-K40548, ,50.6935,-118.3008,2013,8,9,2013-08-09 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0091928573705199,290.3061112605371,0.0070530700864857,0.0101756441315807,18.74576099774657,0.4406992899385649,,,,,,,,,,,
148430,BC-2013-2013-K40576,BC, ,2013-K40576, ,50.6428,-118.3349,2013,8,7,2013-08-07 00:00:00,,,3.9,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.009083128120735,290.2233587320234,0.0128897239716999,0.0409868824020164,19.53166279932399,0.1297397662466269,,,,,,,,,,,
148431,BC-2013-2013-K40583,BC, ,2013-K40583, ,50.6206,-118.3375,2013,8,11,2013-08-11 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0089379332746341,291.5589057478027,0.0054805870205759,0.0202894509451241,20.89092942929079,0.3901735479961448,,,,,,,,,,,
148432,BC-2013-2013-K40644,BC, ,2013-K40644, ,50.6564,-118.3171,2013,8,12,2013-08-12 00:00:00,,,0.1,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0091822879206852,290.00138677363674,0.0413517691513882,0.0241008281730642,19.662292197334462,0.4044732326059291,,,,,,,,,,,
148433,BC-2013-2013-K40649,BC, ,2013-K40649, ,50.3205,-118.6702,2013,8,11,2013-08-11 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.008865102800742,292.30346432621093,0.005888251906023,0.0168262657953131,20.95638824444641,0.4023804731605544,,,,,,,,,,,
148434,BC-2013-2013-K40653,BC, ,2013-K40653, ,50.5228,-118.6817,2013,8,12,2013-08-12 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0089755405808157,291.4728756116368,0.0389606349239291,0.0243158921293935,20.89453036117629,0.3934110736576978,,,,,,,,,,,
148435,BC-2013-2013-K40661,BC, ,2013-K40661, ,50.6138,-118.2858,2013,8,10,2013-08-10 00:00:00,,,0.5,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0092803811137795,291.619124844375,0.008919287308728,0.0135697130021148,18.96823538336521,0.4398838337890811,,,,,,,,,,,
148436,BC-2013-2013-K40669,BC, ,2013-K40669, ,50.7198,-118.3583,2013,8,12,2013-08-12 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0091653468882088,290.0577889592715,0.0393885779363475,0.0230777358855619,19.657563009247315,0.4084423527325765,,,,,,,,,,,
148437,BC-2013-2013-K40670,BC, ,2013-K40670, ,50.7288,-118.3578,2013,8,12,2013-08-12 00:00:00,,,0.1,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0091648269733648,290.0457219619375,0.039176271023098,0.0229464766724767,19.63982014614061,0.4087844139591202,,,,,,,,,,,
