FID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SIZE_HA,CAUSE,CAUSE2,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC
4860,46.65168552,-64.20842861,2022,5,10,0.32,H,H,0.004366554,279.3549657060137,1.5317020809387076e-07,2.608008943761778e-05,7.109467614023996,2.108727550383861,283.26433735993186,0.6839211918827955,103.7852340767333,53.98170789317418,2.0583368616980153e-05,2.7300893707395724,0.9695584178076209,241.0817695954845,35.379490621223226,0.29437846989638505
4861,46.34438754,-63.61516682,2022,4,21,0.0,H,H,0.003561825,277.53958619321816,0.0152762726671268,0.040342714,7.514311541,2.2164586262493198,277.35336636988154,0.7779545034806779,62.66290324579955,29.755921617452135,3.183632353268253e-05,1.902604913024973,0.8547702662965416,156.1687251823031,6.3428068393736154,0.33314164901516763
4862,46.61863155,-64.10479255,2022,10,31,0.17,H,H,0.006583161,283.21328760799685,0.0100257251308142,0.00286774,10.66657512472442,3.1938401458671266,283.8616616271741,0.5341890829065976,41.929908647577705,-0.10856127979795493,2.0503924573007307e-05,4.070195721606609,0.8931254576142639,104.81072683254449,14.73013789070412,0.21749976273488528
4863,46.76313758,-64.14757959,2022,11,6,0.03320913,H,H,0.009134528,287.8156550359583,0.0347207184557354,0.009535064,24.993520733601283,5.101497188740437,276.7363120985774,0.5717047256557111,30.751838701467367,-15.885670070428079,3.4065762980688815e-05,3.1556932307744066,0.9052482497587708,65.19957052794184,3.2073818660919957,0.23193244533568935
5740,57.7714,-120.0,2022,7,17,0.01,N,N,0.009523349,289.2590369750977,0.0192596034824848,0.0564705540552735,22.13103040008545,0.092025553,288.42935482177734,0.7566809539794922,117.82200559692383,27.35543893508911,2.7140007906564276e-05,3.8569826061248778,0.9686675573349,219.20194150390626,71.52912463378907,0.3309796249628067
5741,59.9713,-119.9997,2022,6,1,386.0,N,N,0.006603673,287.45334644103025,0.0201857275552618,0.055196052,15.029165339664372,0.265822288465773,287.52089197284664,0.858765082080437,111.8315817387525,28.58498633489494,4.038400777514717e-05,2.339986747844895,0.9639144801910077,224.19005053395512,58.956299612335314,0.38716830856586
5742,58.5148,-119.9763,2022,7,6,0.2,N,N,0.009536819,291.0140678715234,0.004001027,0.062551619,23.31281880663596,0.007307164,289.8306293835625,0.6308103955860243,109.95849136858122,32.63152956102297,2.1018269942228988e-05,4.436362522821171,0.9649091298233261,220.8625263706581,72.09055114693959,0.2749727605468495
5743,59.9611,-119.9737,2022,6,8,36.2,N,N,0.00818171,289.38564725746585,0.000474436,0.0551737124917523,17.670749403502573,0.2368909427337489,287.5196815819971,0.8574226792883991,111.74499873288822,28.536375685702705,4.046767321376337e-05,2.3445863054287863,0.9639255461893482,224.0378324897364,58.898823648040796,0.38637105023544804
5744,57.7342,-119.9706,2022,8,16,0.01,N,N,0.0100883071749254,290.445408,0.003896399,0.0421899468495292,24.031136319716065,0.0342720302296557,289.1758655750117,0.7487561825016777,108.77297175931635,11.23865177555531,3.07416110660026e-05,4.178736987336977,0.9104276962931974,190.02011428225583,69.701465703749,0.3266859756415058
5745,56.4895,-119.9648,2022,5,12,8.4,H,H,0.0045805,280.7817599547656,0.0100686263184618,0.046379667535131,10.121479447873536,0.1949861214553979,279.019995945957,0.8679304959571076,71.37321275746336,37.063020520563974,4.712485008621123e-05,1.5654806551146703,0.9474591875171281,183.9902493311914,16.71741581908325,0.39483322769389145
5746,55.4885,-119.9362,2022,3,18,0.01,H,H,0.003096291,273.2897713683203,0.001000901,0.019221579652301,5.635224066789244,1.1620650817053428,269.60842557677734,0.774526596017685,25.907432360587546,4.661479786027301,6.982534536425794e-06,0.6046854770240039,0.8386926433144172,92.02328938249975,1.1999688520894578,0.33763800758571627
5747,55.2794,-119.908,2022,6,12,0.1,H,H,0.005650812,284.4078994,0.008271706,0.033529413,11.361006781600343,0.3035541451645511,285.9729004874414,0.7547310975549695,107.74962835358895,34.76302867952646,3.610884895672091e-05,2.9490595022665413,0.9715171502939988,225.0896661563869,56.63162516139654,0.32625021285091377
5748,55.4667,-119.9039,2022,9,11,0.55,H,H,0.00619327,286.4121034542041,0.005631431,0.007913422,14.30126331276755,0.1745268152253707,285.24488525891115,0.5667834631695416,41.213285868794195,22.064657276792893,1.945659736376596e-05,2.881382426870085,0.7907427601187492,139.0443290589516,11.597713404848303,0.25310725573830506
5749,57.563,-119.8897,2022,7,16,0.14,N,N,0.009526272,288.5162691560742,0.014701347,0.1056531243612672,22.825188941532605,0.0,288.0540566969531,0.7711951159640315,116.80131003803957,29.075405227734958,2.4898022698155873e-05,3.734335521297684,0.9696351325221062,219.85095763710447,69.45091444371829,0.3378479537744237
5750,54.3988,-119.8255,2022,8,1,0.1,N,N,0.0104222481172585,289.6848679,0.0458157785501146,0.070820987,20.42374671,0.05055736,287.63378501980463,0.5937114055865097,92.01068405664552,35.0704490480237,2.7450303364176068e-05,5.191428564197387,0.932891744492035,207.11719487041017,50.705073811159664,0.24540596575625412
5751,58.5277,-119.8092,2022,7,16,0.01,N,N,0.0106187145743497,290.3277383100117,0.035968328,0.1450407035697882,27.9931408549336,0.1118418962712937,289.72765695477347,0.6557136994676855,111.40350263299021,30.697124573764885,2.166948872810298e-05,4.465487119588895,0.9649306029278603,219.73807766400287,73.1921501008359,0.2856942479253788
5752,59.71,-119.7668,2022,6,1,8300.0,N,N,0.006617715,287.40985031445314,0.015807594,0.052670831,14.887283504809574,0.2957038286286965,287.5118488632813,0.8325171670768735,110.98720943457027,27.360872124707065,4.119843604487833e-05,2.460364569586181,0.964994722410965,221.88765368994143,60.276407832641546,0.37100469427013383
5753,56.1488,-119.7417,2022,4,14,0.01,H,H,0.001506659,266.21469709642184,0.001008066,0.003466431,3.371888829943114,1.5109526302222178,272.5504850144297,0.812275722853943,33.88624477856051,32.50439056141804,2.393977872771112e-05,0.9230826434598389,0.9115287320097352,133.51358374679307,1.4764012909974018,0.35565672479115307
5754,55.51,-119.7391,2022,8,22,0.01,N,N,0.011142431,292.8942094,0.002758196,0.0108194986124411,25.17196956779786,0.180385259,290.69982520917966,0.6171091307664863,89.86323201752919,28.147939318585344,1.3117661733343302e-05,4.506026378353889,0.8394039792324068,200.58776692299813,48.67507567871078,0.27373181545104946
5755,55.4717,-119.7281,2022,8,22,0.01,N,N,0.0111525708342075,292.8924065612881,0.00314495,0.0127176197359306,25.30734964,0.1654875534471185,290.6862134947041,0.6167668556377697,89.99982102135314,28.33545587548971,1.329885947654941e-05,4.526087923712971,0.8408897614020515,200.8691550609306,48.821651483917705,0.27362333962744306
5756,55.1896,-119.7038,2022,8,27,0.1,H,H,0.008383343,289.09637939289064,0.053013016,0.1179648782442091,22.457557502549797,0.6566760876478439,290.78920403559374,0.5972137977179258,85.00228294112885,34.4223202267393,1.5021548592587016e-05,4.783760562684572,0.8634470670799562,202.4819702068672,42.898087700195255,0.2670849856657409
5757,55.7867,-119.6969,2022,11,17,0.1,N,N,0.001141381,260.9170336444248,2.7260516013567247e-06,6.33817326159492e-07,3.0057583289977057,0.8303569892636022,265.42854790012206,0.5914990679279575,7.305009752634181,-7.092727616463661,9.129397468029101e-06,0.9548532264327723,0.7887973694540864,28.72418244763958,0.022196246167172945,0.26426028445695254
5758,59.2732,-119.6668,2022,7,16,0.31,N,N,0.0100387142050476,288.94037389603903,0.042912843,0.1716922395527342,27.80912768036572,0.079546628,288.65162638096876,0.7608594667373813,112.4333531638496,20.760453340853015,2.2856109989252433e-05,3.9443611902557967,0.9677357729741364,207.36251826783982,71.40849153286132,0.33363682278165446
5759,57.3292,-119.6316,2022,8,15,1.0,N,N,0.009957552,288.95513970171874,0.0164350615025034,0.074520564,24.55787190252344,0.0,288.9381999599141,0.7158982733224328,104.43187288135347,16.322475710419926,2.636088097181402e-05,4.220068102566042,0.9110187807720183,193.3510253475703,65.93084374339843,0.3107173210642926
5760,59.264,-119.625,2022,6,1,29.0,N,N,0.006653153,287.5932396484375,0.0112405922546982,0.044000909,15.135329141235347,0.3111232962486937,287.8861775390625,0.7909363413810733,110.24020435791016,28.039516699218733,3.773863327223812e-05,2.6117225090026848,0.966572339439392,221.33656494140624,61.37535289306641,0.3477985751628877
5761,58.039,-119.588,2022,8,14,0.4,N,N,0.0121415210261464,291.49357755986324,0.0275951237907825,0.1056069393264292,28.910262008923347,0.051721365,289.5005987345703,0.7149610041063307,106.60441400485834,10.256917591586337,2.99713758573634e-05,4.382365752703859,0.8851841357322691,187.65515945078124,68.67227834165034,0.3097401448971747
5762,56.5449,-119.5536,2022,5,26,0.01,H,H,0.005767443,281.80634186703315,0.0135895058708072,0.092752515,13.423249198841674,0.446644529660111,278.9461703288672,0.8625756655065271,69.76858377144977,39.028955944163506,4.875827682625472e-05,1.6404306317457018,0.9509555006608313,184.18761401401173,17.298790118445783,0.39070335418014346
