FID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SIZE_HA,CAUSE,CAUSE2,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC,DATE
4642,46.55594782,-63.71517829,2019,4,14,8.452463488,H,H,0.004722844283433209,278.9733066221726,0.005218558171193892,0.03706245465338806,13.687958602989436,2.678370915836666,275.98925890439455,0.8343613699301162,69.6573936434594,21.81273533423716,5.9074698026643306e-05,2.0543068407342537,0.9308507644156556,153.8497221866719,1.307719849686285,0.3747735338341061,
4643,46.730755,-64.334786,2019,8,15,0.05,H,H,0.01020522936525148,292.46831283083316,1.43612230791173e-09,0.008335758005201005,20.1660032141693,0.890718666220105,292.3170966999146,0.533060536669706,121.83842964748337,20.40903563187076,2.574841634094174e-05,5.876924541921899,0.9592712655303272,209.82620892749216,76.40035838106147,0.2207469899348876,
4644,46.41853911,-63.96897616,2019,12,18,5.708664754,H,H,0.0020249632400226583,268.5369227947382,0.016721908951171996,0.03969724686117933,6.217153339715223,2.168457492072618,269.9071984567676,0.6907037585329847,22.29509618703891,-22.83151779202984,2.7156663196913333e-05,2.557862953613967,0.9130745254926692,44.100843081289845,0.5229963357780752,0.2888337420147281,
150988,59.5711,-128.6357,2019,5,27,1935.0,N,N,0.0069427470622856445,287.96927001440037,0.009226963159995496,0.0007074823691135487,14.225542810194874,0.36849771522652897,280.0791379672764,0.7290972842333633,83.5578719983896,41.135881575368686,1.5843774472043206e-05,1.4114111252780392,0.9420525683929404,211.03816097675585,27.14908018044486,0.2983657927581362,
150989,59.8393,-128.1051,2019,5,28,5.0,N,N,0.007494772168336155,288.5666820880186,0.00020789058764284654,0.005461304739844617,13.484344587941715,0.09715544314827804,280.8622863194444,0.6985030260546397,85.41813548558717,42.44860609910021,1.237180419201091e-05,1.392031768891124,0.9406255042323264,215.360759653834,29.20593654533846,0.2792194900977353,
150990,59.668,-128.5627,2019,7,2,0.3,N,N,0.009245660486935382,289.8949210033203,0.02512663243753203,0.06308465026761548,24.418730590463873,0.24195050626015982,286.661205116836,0.6259585829756166,98.66664867502926,38.54717475595216,2.9128529501899703e-05,3.155234457134093,0.9685563019763184,212.5370704423828,57.83078597797845,0.2396215483841324,
150991,59.8671,-128.0752,2019,7,20,0.1,N,N,0.009395637332080485,289.0844219944531,0.012324351071418303,0.12243155726822415,22.938072719505247,0.026055049724423573,287.2462945694336,0.5872114507068291,96.98983617116356,39.86654870622118,1.9379079818947925e-05,3.136390869186432,0.9677704830446624,213.13555476102147,59.077864411980194,0.2195087674723072,
150992,59.4628,-127.6765,2019,7,16,12.9,U,U,0.007833698504777553,286.50823885902344,0.004487661502087713,0.08722608082753179,18.588079512591552,0.0507675687556485,286.6241766810938,0.6414127655830005,99.91130751688974,36.2813089531982,2.5401702343942607e-05,3.356647531733705,0.9677791915684129,210.76862430550784,59.32636128128916,0.2500056666891385,
150993,59.9897,-127.6673,2019,7,20,1.5,N,N,0.009468383528922736,289.1982105952246,0.015208536543472867,0.11338249700246589,22.879456707452814,0.04208568379147443,287.1973992322266,0.5875150951715482,95.79011138061472,39.43986989283478,1.7813718584912392e-05,3.0817718956079254,0.9671608420021248,211.27555429086723,56.06417865485917,0.2184871723996097,
150998,59.1299,-131.9359,2019,7,7,400.0,N,N,0.009886859776016953,289.8751140448496,0.022053604367613857,0.05233632196199847,19.862802717950263,1.0744348507173933,285.44483643170315,0.6695723393595298,93.14715284173415,35.63185166981916,2.825194952649584e-05,2.318081106335594,0.9635188532727488,201.1224260057363,25.550573451822125,0.2609356132562266,
