FID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SIZE_HA,CAUSE,CAUSE2,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC,DATE
145984,59.1475,-127.6038,2016,6,17,101.3,N,N,0.007023933,284.7037105714844,0.02692348,0.1335069381964207,16.200506236561584,0.316077265,284.0953392186523,0.6957040261114125,96.3460103352173,42.25879677704464,3.415905109506566e-05,1.9714730763467785,0.9572727968364716,218.5290383989746,37.668745468884254,0.2792987825665953,
145985,59.4782,-128.1735,2016,7,10,98.1,N,N,0.008538967,288.7210696591894,0.006605124,0.1128814424523255,20.197994311795657,0.1480601804266581,286.30850445465825,0.7063136453159143,107.85290588022964,26.90290063756888,2.748803865660786e-05,3.3199532135734606,0.9685672096224596,207.18256825554693,59.26403329785364,0.2847126675674821,
145993,59.8938,-121.9199,2016,8,7,392.6,N,N,0.008728506,290.10915409134765,0.004216085,0.0186470802987327,23.611023734301263,0.066059236,288.3452606641465,0.6040243956241192,61.67881042693506,45.24608142802467,3.461723946151578e-05,4.136884843215662,0.8757781385981372,175.81001662569727,22.044753232892223,0.2650674600057928,
146022,59.078,-121.3735,2016,5,16,0.7,N,N,0.00609524,288.09345273408206,0.003694293,0.00518157,13.169197066189582,0.2470091219955554,282.3314438424805,0.6784569275718685,72.1762467011474,55.15559028480229,3.421679902465543e-05,1.5520108006801605,0.943257401543808,212.50882691376955,30.63306735399777,0.2947432756742476,
146023,59.828,-123.7323,2016,6,12,0.5,N,N,0.008778067,289.9726447433594,0.0204168930708802,0.059523066,19.85574920361328,0.1021176487076139,288.61951010156247,0.6622801564579768,119.5463090151074,29.159792162976103,1.5216794755549548e-05,2.8315325912637324,0.967473142310028,235.88766955414064,65.4722888159765,0.2748470141670605,
146024,59.8824,-123.782,2016,6,18,0.2,N,N,0.006987381,286.2816553996875,0.004653995,0.059242663,17.23726444,0.046237551,288.56898361945315,0.6563176732699593,118.49135952929714,30.39114143478001,1.465930812550239e-05,2.8091238370929044,0.9672597093840029,236.27712875308595,63.943539461641045,0.2702440988450627,
146025,59.183,-120.2323,2016,6,29,4.5,N,N,0.009945097,293.53296414389644,0.016611027,0.039043542,24.70873941447388,0.044386645,288.4288961270605,0.6591758813336943,112.44074927843016,26.334737962292536,3.354771796111424e-05,2.612115048039932,0.9665066300507354,223.75121459684576,66.37545167047239,0.2836204945221042,
146026,59.5131,-122.2461,2016,6,29,0.15,N,N,0.010265376,293.1998719469356,0.038442474,0.043873893,24.16944401151781,0.112058908722984,288.1682068112901,0.677676135051601,112.21793021602024,33.81929042887409,3.300616135293672e-05,2.665246685586175,0.9665471595365658,231.96930018521343,63.71841412430663,0.2910059235356758,
146027,59.1744,-121.4628,2016,6,22,0.2,N,N,0.0107527764270482,289.2349164662032,0.1409233161872406,0.1413758464439544,26.98439255983496,0.041073726,288.17341802353127,0.6856785428560177,111.75061925595308,29.876958901566475,3.723975961055237e-05,2.6019453002740485,0.9661676058831176,226.1319948727344,63.43600714871088,0.2960729574899901,
146028,59.042,-121.5465,2016,7,13,0.35,N,N,0.008870544,290.3281827288086,0.003527987,0.057983063,21.1275936022522,0.082494156,289.73787912509766,0.6374098043811807,111.5833774034914,32.19377750905131,1.6731616449853785e-05,4.009616540213011,0.9638703384372712,222.15385880747067,71.94504681571064,0.2787681405515674,
146029,59.4247,-120.7795,2016,7,13,0.009,N,N,0.008453653,290.3181575547705,0.006389099,0.056790154,21.25937837483673,0.0876549,289.97682976692386,0.5830988612613572,93.7632376867539,49.98907878907346,1.4250515745217367e-05,3.790962322496488,0.9663024815779876,225.2135872451246,53.10922233216955,0.2530492189220042,
146030,59.3264,-121.1722,2016,7,13,0.009,N,N,0.008609657,290.2361655500313,0.005272602,0.058328486,21.07513732420898,0.093196868,289.73171278392186,0.6155750605016788,102.8311745541368,40.64574008614251,1.5741459695544106e-05,3.881099114533936,0.9652862360503236,223.17105132885155,62.05397572375397,0.2674036766903993,
146031,59.8206,-123.5163,2016,7,10,0.009,N,N,0.009041486,291.38316939561327,0.0167927457346428,0.033322737,21.64499881013098,0.1015326955407881,290.33134712746875,0.5909330444791603,100.8200429233096,34.96726952898729,1.5004558115510671e-05,4.94237397221402,0.9649241689300728,215.4778921509072,60.971131948662624,0.247721908545372,
