FID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SIZE_HA,CAUSE,CAUSE2,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC
145987,59.5334,-127.4059,2015,7,1,0.97,N,N,0.007295687,287.1116175173672,0.007270213,0.0150356127540854,14.652969854286011,0.014865939081072,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
146126,58.2452,-122.6899,2015,6,29,0.15,N,N,0.009306207,294.8908489763008,0.006073639,0.0388753868472485,25.270792464792237,0.0217384385336824,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
146345,55.7202,-121.2248,2015,3,25,0.9,H,H,0.003364688,272.2317555763047,0.0135354641073237,0.022857927,7.106715692917296,0.2425903813118631,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
146346,55.7351,-121.2652,2015,3,28,5.6,H,H,0.003990203,274.7700973800488,0.030090278,0.037345997,8.429458452959913,0.3465030032603908,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
146623,54.205,-125.3361,2015,5,15,4.0,H,H,0.006964087,286.3122178542969,0.002264624,0.007133403,11.852059739791876,0.3127706271439154,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
146624,54.4946,-125.7614,2015,7,2,0.009,H,H,0.008766551,290.4335957317617,0.018034395,0.0209068206472981,17.39450277147558,0.3089623370473615,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
146786,52.687,-122.4513,2015,3,14,0.1,H,H,0.005246606,278.5472156375293,0.073295798,0.059526778,12.414507894339597,0.082386441,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
146787,52.9567,-122.4584,2015,3,18,0.009,H,H,0.0039012,276.00101425783004,0.009344909,0.0131671800762368,9.343809222,0.4176946524497998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
147031,53.9811,-125.6941,2015,4,19,0.009,H,H,0.003958297,278.19358124345894,0.003720053,0.003281611,12.041472509733886,0.1832086196182923,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
147032,53.5878,-125.5097,2015,5,25,0.009,N,N,0.008009644,284.59759274984765,0.006209794,0.1471521718113492,19.208126369970824,0.2049892308155638,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
147033,54.1136,-125.6952,2015,6,23,0.009,H,H,0.008513084,288.2649774,0.005328104,0.055362676,18.743627195167004,0.2543932016376116,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
147101,50.9417,-127.1002,2015,8,2,2.0,H,H,0.009305042,288.8785519785645,0.004050291,0.002121951,21.464440722725087,0.8318620676798837,287.6778093801758,0.6331845069562418,110.35313789485205,27.391560635087657,4.1667625143547266e-05,5.588540961281258,0.9755630204433212,198.95409744790527,71.15869629821192,0.2629760067257053
147121,53.3581,-131.9297,2015,6,3,0.009,H,H,0.007421871,285.0343376851797,0.0127220701430455,0.1971787287944743,21.65078892062147,0.8949776146069136,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
147122,53.7868,-132.2239,2015,6,23,0.25,H,H,0.008155966,287.71468557196874,0.000979874,0.0195614909640932,16.48744645956275,0.9435110679924296,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
147123,53.5886,-131.9566,2015,8,8,0.009,H,H,0.009076329,287.72568603510155,0.012473613,0.2517615210157266,24.2962467062478,1.4207716570606042,287.698858109418,0.7127918932204815,95.27845624431251,9.59461756638708,5.019876189143487e-05,4.240314268148321,0.9010243442309659,160.48702515311714,46.89861454025828,0.3044455465504567
147190,53.3824,-132.1516,2015,7,9,0.009,H,H,0.009444424,289.47212285578127,0.006668699,0.006630651,23.61469863483984,1.1492948244267156,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
147191,53.2617,-132.133,2015,8,11,0.009,H,H,0.009456009,288.24795364853514,0.028920319,0.1227203738852746,28.556563373132946,1.9719546695781884,287.50398508100585,0.6909661605677418,93.68250966933351,12.51083925635222,5.257728584714236e-05,4.211103650657433,0.8948175065571993,160.8501069677587,43.487066365234355,0.2777501065332886
147887,52.026,-123.1821,2015,3,21,0.009,H,H,0.004657908,275.16848274050784,0.038985455,0.092257782,10.282282109434815,0.058792823,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
147888,52.0233,-123.1788,2015,3,29,4.0,H,H,0.004304018,277.77996181612303,0.040922158,0.038737753,9.580302704,0.036241068,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
147889,52.1267,-124.0047,2015,3,30,37.0,H,H,0.004253348,276.3920646278477,0.0276829135525717,0.054030589,10.347125836603242,0.1180039381591792,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
148076,52.1091,-121.9919,2015,3,27,0.009,H,H,0.006111613,279.5618185767051,0.073733687,0.061241282,14.102256884708522,0.082486427,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
148087,51.4322,-122.0031,2015,3,9,0.5,H,H,0.004422868,276.30485934630275,0.0148756935942304,0.008714218,10.317934526518158,0.2042105684270716,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
148088,51.7775,-121.2414,2015,3,17,0.1,H,H,0.003583738,273.6554852916504,0.0169700283656328,0.003603042,6.355327950955958,0.09835048,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
148201,51.792,-125.5934,2015,5,12,0.009,N,N,0.00573496,279.1864691235156,0.0324438410665226,0.042682988,12.77415959111084,0.3524743483486292,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
148202,52.3166,-125.7347,2015,5,25,0.2,N,N,0.007044846,282.3211599823828,0.007242739,0.1937544829218713,15.061147410602794,0.1603185675369321,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
148208,50.7558,-124.8226,2015,6,30,0.009,N,N,0.010633673,289.8457269283984,0.004663307,0.063213787,23.396089669492888,0.4877766731968537,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
148209,50.5212,-124.1824,2015,7,27,0.4,H,H,0.006401386,282.90353568720315,0.001698405,0.048217543,13.48117409189307,0.3140806313140435,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
148210,50.4953,-124.238,2015,8,14,0.009,N,N,0.008491727,288.0542420506836,0.0349898964162576,0.0156360633195298,17.522767775869138,0.368188714,284.8696168518457,0.5556270806381035,99.80309142207761,27.68415202918824,5.332000270027434e-05,4.059363823406676,0.9664880078074646,194.18974982080076,65.96376159388792,0.20661218130454062
148211,50.6683,-123.8852,2015,8,14,0.9,N,N,0.00781339,285.54609541335543,0.039178408,0.0237198641778184,15.215174774171672,0.1861157363294393,283.00501267088276,0.565011162146557,85.22543544441787,36.31369503262556,4.331032298512655e-05,3.45023830618031,0.9630672115277138,190.7468943975742,47.065618121401705,0.20443126890439797
148529,51.6065,-119.9058,2015,3,16,0.1,H,H,0.002527947,268.5900885496582,0.0190946793923461,0.003765961,2.637555738267749,0.3376115637960593,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
148550,50.8654,-119.584,2015,3,14,1.0,H,H,0.004978509,276.1949156529297,0.072115943,0.074564546,13.652769335359494,0.1690396882151865,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
148813,49.6399,-115.7572,2015,3,9,18.8,H,H,0.003674736,272.0167220599688,0.001109703,0.002294286,7.597747180716558,0.5293223171034764,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
148815,49.6063,-115.8501,2015,3,30,0.009,H,H,0.004848133,276.2944948512276,0.005127625,0.0246473436671895,10.799056674463143,0.3805681822001608,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
148946,50.27,-121.6017,2015,2,2,4.0,H,H,0.00340755,269.5926379635742,0.043556322,0.065111514,7.310201220248415,0.2621609070123171,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
148947,50.2597,-121.5977,2015,3,18,8.0,H,H,0.004071767,274.33304049289063,0.0171649750660588,0.034274268,8.131603262104884,0.2270344580679506,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
149133,50.7127,-120.6273,2015,3,10,4.5,H,H,0.004237519,274.98520074926466,0.002420103,0.009060953,7.901943244733621,0.2733595154903581,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
149134,50.7751,-120.8948,2015,3,30,85.0,H,H,0.005019874,278.0747426850488,0.011747554,0.0543523680767629,12.373890106347591,0.1618869931517637,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
149187,50.5547,-126.4359,2015,7,24,0.009,H,H,0.008851673,287.4465259709502,0.017352622,0.257429115,23.73360859112873,0.2889057027846146,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
149188,50.5546,-126.4308,2015,10,14,0.1,H,H,0.006138482,282.09286115945315,0.000627133,0.050992703,13.016623743766848,0.1849894087822863,281.86240960882816,0.6445524183629308,50.8864722803057,-14.197002039653146,5.2598615798516786e-05,5.150215078671787,0.8807308232178116,81.12205270671481,21.61223283396936,0.2659616284824679
149421,50.5362,-126.9818,2015,6,15,0.7,H,H,0.007717398,286.76343561196484,0.001302014,0.0262141690240388,15.263801829737554,0.5881119933138305,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
149422,50.5847,-127.1188,2015,6,28,0.009,H,H,0.009666976,290.7969901871504,0.004529633,0.00405156,20.63206784514733,0.4525948230210546,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
149423,50.7294,-127.5256,2015,7,3,17.0,N,N,0.00906546,288.8043397211875,0.002075035,0.002049962,22.1674016237976,1.158226245336058,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
